institution,location,size,focus,research,age,QS2023 Academic Reputation,QS2023 Employer Reputation,QS2023 Faculty Student Ratio,QS2023 Citations per Faculty,QS2023 International Faculty Ratio,QS2023 International Student Ratio,QS2023 International Research Network,QS2023 Employment Outcomes,QS2022 Academic Reputation,QS2022 Employer Reputation,QS2022 Faculty Student Ratio,QS2022 Citations per Faculty,QS2022 International Faculty Ratio,QS2022 International Student Ratio,THE2020 Teaching,THE2020 International,THE2020 Research,THE2020 Citations,THE2020 Income,THE2020 Overall Score,Number of Students,Student Staff Ratio,International Student Proportion
University of Canterbury | Te Whare Wānanga o Waitaha,New Zealand,5000-12000 Students,Comprehensive,High,10-24 Years,38.9,39.6,11.3,33.2,98.5,52.7,67.6,54,39.2,41,9.7,41.1,99.6,51.4,,,,,,,,,
University of Warsaw ,Poland,12000-30000 Students,Comprehensive,Very High,50-99 Years,48.9,63.3,38.4,7.1,8.6,9.3,78,59.3,46.5,53.9,39.6,6.2,2.7,10,,,,,,,,,
Belarusian State University,Belarus,>30000 Students,Comprehensive,Very High,100+ Years,24.2,39.7,96.8,1.3,3.4,48.2,46.2,29.9,21.5,40.2,98,1.4,1.4,43,21.3,58.1,9.7,13.3,42.4,18.7,27101,8.4,0.09
Charles University,Czech Republic,12000-30000 Students,Focused,Very High,100+ Years,45.3,34.9,41.3,10.7,23.9,51.6,96,41.5,45.7,35.5,49.9,11.4,8.6,49.2,,,,,,,,,
Gwangju Institute of Science and Technology (GIST),South Korea,>30000 Students,Fully Comprehensive,Very High,100+ Years,14.5,6.6,39.2,100,22.1,8.8,34.5,13.7,13.4,6.1,36.4,100,5.7,7.6,,,,,,,,,
University of Turku,Finland,<5000 Students,Focused,Very High,25-49 Years,28.8,32.1,60.3,36.3,27.3,4.9,88.4,28.3,27.8,28.5,61.1,38.5,11.8,5.1,27.1,52.6,30.8,73.5,37.3,44.3,12785,16.3,0.06
Massey University,New Zealand,12000-30000 Students,Fully Comprehensive,Very High,100+ Years,29.3,19.1,37.4,22.6,98.3,99.7,84.1,32.5,29.9,24.4,33.6,23.7,99.1,99.2,22.9,92.8,18.9,49.1,41.5,35.3,18653,16.2,0.31
Jagiellonian University,Poland,5000-12000 Students,Comprehensive,Very High,50-99 Years,38,55.1,62.6,6.6,5,11.9,82.8,33,37.6,45.8,60.8,6.1,1.7,11.7,25.5,37.7,17,61.4,35.3,34.9,40608,10.9,0.09
University of Tasmania,Australia,>30000 Students,Fully Comprehensive,Very High,100+ Years,16.5,7.5,14.5,85.4,61.9,99.4,85.5,23.1,17.8,9.7,18.7,69.4,68.1,98.4,26,88.2,33.7,63,50.1,44.7,18219,24.9,0.3
RUDN University,Russia,5000-12000 Students,Comprehensive,Very High,100+ Years,19.7,33.9,92.7,1.8,9.7,93,79.1,8.7,17,29.3,91.7,1.6,3.5,93.2,36.3,51.6,11.3,25.2,37,26.6,19803,11.6,0.29
Swinburne University of Technology,Australia,12000-30000 Students,Fully Comprehensive,High,50-99 Years,13,16.4,12.2,87,97.8,72.2,76.6,18.1,13.9,19,15.3,65.9,98.6,85.1,24.5,79.3,28.9,66.5,41,42.9,14379,27.9,0.27
United Arab Emirates University,United Arab Emirates,12000-30000 Students,Comprehensive,Very High,25-49 Years,26.3,36.6,59.4,11.5,100,38.2,70.8,86.8,25.2,27.7,67.5,9.7,100,40.1,23.7,91.6,19.1,84.7,43.3,46.2,7523,9.2,0.21
University of Miami,United States,5000-12000 Students,Fully Comprehensive,High,25-49 Years,22.7,32.1,70.8,20.8,66.9,25.3,81.7,50.3,24.2,28.9,62.5,29.3,16.5,36,44,59.1,25.2,83.2,41.3,51.2,15971,6.3,0.16
University of Tartu,Estonia,12000-30000 Students,Fully Comprehensive,Very High,50-99 Years,25.8,10.7,88.9,14.3,40,24.2,88,79.6,26,13.5,88.3,15.2,17.5,24.9,26.8,55.4,27.1,82.4,37.5,46,8532,11.6,0.08
   Griffith University,Australia,5000-12000 Students,Fully Comprehensive,Very High,100+ Years,26.1,16.6,7.6,71.7,99.9,40.5,90,27,27.8,20.1,9.4,64.2,99.8,41.6,25.5,81.8,32.7,86,42,50.4,34120,23.6,0.17
Université Paris 1 Panthéon-Sorbonne ,France,>30000 Students,Fully Comprehensive,Very High,50-99 Years,64,35.7,4.7,3.4,35.5,49.9,73.4,32.2,62.8,44.5,5.3,3.1,21.4,52.9,,,,,,,,,
Xi’an Jiaotong University,China (Mainland),>30000 Students,Focused,Very High,100+ Years,21.8,50.7,22.2,80.7,6.7,4.3,74.4,29,23.1,41.7,25.4,80.2,2.5,5.6,35.1,39.1,30.7,41.3,61.4,36.6,36557,12.5,0.06
University College Cork,Ireland,>30000 Students,Fully Comprehensive,Very High,50-99 Years,29,38.1,36.7,25.9,94.6,42.6,76.3,32.8,27.6,33.5,44,21.8,95.4,46.9,24.9,81.3,23.1,77.5,44.5,44.9,16861,18,0.18
University of Macau,Macau SAR,12000-30000 Students,Fully Comprehensive,Very High,100+ Years,9.5,9.8,16.4,84,100,98.2,49.2,73.8,10.7,6.8,18.7,70.8,100,97.1,32.3,98.5,32.6,61.9,41,46.5,9340,14.4,0.37
University of Surrey,United Kingdom,5000-12000 Students,Focused,Very High,25-49 Years,20.4,28.1,21.5,49.6,97.7,89.7,82.1,21,22.3,28.4,19.9,55.6,98.3,94.3,30.2,93.7,34.3,71.9,46.8,49.1,13125,16,0.37
Huazhong University of Science and Technology,China (Mainland),12000-30000 Students,Comprehensive,Very High,50-99 Years,21.3,40.2,10.5,96,6.2,4.9,75,20.5,21.2,32.6,13.2,86.6,2,5,41,25.8,39.1,59.8,90.4,46.2,56379,16.5,0.05
Tianjin University,China (Mainland),>30000 Students,Fully Comprehensive,Very High,50-99 Years,18.3,4.3,31.2,92,16.3,19.6,69.5,30.6,19.6,4.6,27,88,3.4,12.3,32.7,26.5,35.7,38.8,97.9,36.6,34780,14,0.06
Dalhousie University,Canada,12000-30000 Students,Comprehensive,Very High,50-99 Years,18.5,21.2,14.2,63.8,100,80.5,81.7,18.4,18.7,24.4,16.9,70.3,100,81.3,27.7,85.4,29.6,79.5,44.4,48.6,15196,14.7,0.23
HSE University,Russia,12000-30000 Students,Fully Comprehensive,Very High,100+ Years,26.9,32.6,92.6,1.9,7.8,17.2,70.6,25.5,27.4,28.1,94.1,1.9,2.3,16.5,35.9,42,37.3,78.1,56.5,50,22111,13.1,0.09
National Research Nuclear University MEPhI (Moscow Engineering Physics Institute),Russia,>30000 Students,Focused,Very High,25-49 Years,9.2,11.3,99.2,11.8,52.9,89.1,42.7,31.7,9.4,11,99,10,37.2,89.2,,,,,,,,,
Universität Innsbruck,Austria,<5000 Students,Focused,Very High,50-99 Years,19.8,5.3,65.7,12.8,100,99.9,81,47.4,20.4,8.9,71,14.1,100,99.8,,,,,,,,,
North Carolina State University,United States,12000-30000 Students,Fully Comprehensive,High,100+ Years,29.2,23,11.3,68.3,63.7,16,79,31.3,30.4,23.8,14.3,68.7,51.5,16.5,36.7,57.8,35.3,64.7,43.2,46.4,30231,12.5,0.15
Tufts University,United States,>30000 Students,Comprehensive,Very High,100+ Years,18.3,7.2,65.7,48.2,30.1,32.9,77.9,83.1,19.6,8.6,73.9,50.7,17.8,35.7,49.1,49.6,34.2,94.4,38.6,58,11017,9.8,0.16
University of Tsukuba,Japan,5000-12000 Students,Fully Comprehensive,Very High,100+ Years,33.9,17.5,63.5,19.2,15,26.5,61,13,35.2,17.1,68.5,21.4,5.6,28.4,43.3,44.3,37.2,34.4,44.6,38.9,16844,13.6,0.21
La Trobe University,Australia,12000-30000 Students,Fully Comprehensive,Very High,25-49 Years,20.8,20.9,6.4,61.9,94.5,99.4,81.1,11.4,20.7,23.8,6.4,45.5,95.3,97.5,27.1,83.8,33.1,73.3,51.3,47.6,22292,33.9,0.29
Université Grenoble Alpes,France,12000-30000 Students,Comprehensive,Very High,50-99 Years,43.3,12.5,8.3,51.1,25.7,37.8,97.4,13.3,44.4,12.2,9.5,50.3,11.5,38.8,,,,,,,,,
University of Colorado Boulder,United States,>30000 Students,Fully Comprehensive,Very High,1-9 Years,37,13.5,41.8,36.8,30.2,5.8,89.6,47.2,36.8,16.2,36.9,68.8,7.7,9.1,44.8,47.3,45.6,93.1,41.7,59.6,33186,16.3,0.11
University of Illinois at Chicago (UIC),United States,>30000 Students,Comprehensive,Very High,100+ Years,42,31.9,35.6,26.4,10.1,15.4,89.8,41.6,43.5,32.1,37.8,30.4,3.4,20,,,,,,,,,
Linköping University,Sweden,12000-30000 Students,Fully Comprehensive,Very High,100+ Years,19.8,25.6,32.5,55,74.7,36.2,89,22.3,20.1,27.9,29.8,57.8,53.6,26.5,22.7,59.3,23.6,75.4,48.1,42.2,18544,11.2,0.12
Universidad Carlos III de Madrid (UC3M),Spain,12000-30000 Students,Comprehensive,Very High,25-49 Years,31,48.4,57.1,5.3,46.4,29.5,65,11.7,30.9,47.5,54.8,6.4,16,20.2,,,,,,,,,
Kazan (Volga region) Federal University,Russia,12000-30000 Students,Focused,Very High,25-49 Years,20.8,7.6,91.4,3.2,11.1,93.1,80.7,12.9,19,7.6,88.4,3.8,3.6,86.3,,,,,,,,,
Pontificia Universidad Católica Argentina,Argentina,12000-30000 Students,Fully Comprehensive,Very High,100+ Years,20.4,43.3,99.8,1.1,2.3,7.4,8.5,26.1,18.9,45.8,99.6,1.1,1.2,7.4,,,,,,,,,
University of Milan,Italy,12000-30000 Students,Fully Comprehensive,Medium,50-99 Years,49.8,15,5.4,48.5,9,7.1,88.4,16.5,49.7,17.4,6.2,49.9,2.9,7.7,35.9,42.6,28.9,72.2,37.7,45.2,45451,21.4,0.06
Politecnico di Torino,Italy,>30000 Students,Fully Comprehensive,Very High,50-99 Years,36.6,47.3,2.5,54,3.3,41.8,71.3,15.5,34.7,50.4,2.6,52.4,1.5,40.5,,,,,,,,,
         University of Strathclyde,United Kingdom,>30000 Students,Focused,Very High,100+ Years,25.9,41.8,18.8,33.4,93.1,65.8,80,25.5,26.6,46.3,20.4,31.7,93.3,78.3,28.3,86.2,31.6,51.9,43.6,41.1,18517,19,0.27
National Taiwan University of Science and Technology (Taiwan Tech),Taiwan,12000-30000 Students,Comprehensive,Very High,50-99 Years,25.6,37.6,52.6,25.1,26.6,39.9,34.4,50.8,25.8,28.9,56.1,31.7,13.8,40.3,29.7,40,41.8,39.5,62.2,37.9,8340,19.5,0.15
Goethe-University Frankfurt am Main,Germany,5000-12000 Students,Focused,Very High,25-49 Years,45.4,28.6,26.4,15.6,37.9,27.5,93.7,7.6,46.8,34.5,22.4,19,,30.5,,,,,,,,,
Simon Fraser University,Canada,>30000 Students,Fully Comprehensive,Very High,100+ Years,24.9,21.2,5.4,52.5,93.8,88.3,75.6,24.9,24.7,22.1,5.3,61.7,94.2,89.8,24.1,91.1,35.5,75.3,47,48.5,26521,27.3,0.3
Aalborg University,Denmark,12000-30000 Students,Comprehensive,Very High,50-99 Years,19.8,28.1,34.2,47.8,73.2,30,90.3,24.3,19.9,32.6,42.4,41.3,64.9,29.3,28.5,75.1,39.1,87.1,48,53.2,16340,13.6,0.15
University of Waikato,New Zealand,12000-30000 Students,Fully Comprehensive,Very High,25-49 Years,18.4,13,12,58.2,99.1,88.7,56.8,54.2,19.9,16.4,11.1,44.5,99.2,76.5,20.8,86.2,26.3,48.8,43.4,36.3,9892,18.1,0.19
National Taiwan Normal University,Taiwan,5000-12000 Students,Comprehensive,Very High,50-99 Years,32.7,18.6,68.3,6.3,14.8,28.1,25.2,17.2,32.1,14.2,73.2,7.7,4.1,28.3,32,51.4,37.3,22.8,78.4,33.4,10789,12.1,0.24
Universidade Federal do Rio de Janeiro,Brazil,5000-12000 Students,Comprehensive,Very High,50-99 Years,58.1,25.3,19.3,8.9,9.2,1.6,77,52.2,54.5,25.1,17.9,10.2,3.1,1.8,,,,,,,,,
           National University of Sciences And Technology (NUST) Islamabad,Pakistan,>30000 Students,Fully Comprehensive,Very High,100+ Years,18.2,67.7,77,9.6,3,5.7,55.5,14.6,18.1,57.7,78.1,9.1,1.3,5.2,,,,,,,,,
University of Cologne,Germany,12000-30000 Students,Comprehensive,Very High,25-49 Years,36.7,31,24.8,25.6,44.6,33,89.7,27.5,37.8,33.9,28.6,26.7,46.6,33.3,43.6,62.9,42.9,81.5,70.6,56.9,36965,36.5,0.16
University of Lisbon ,Portugal,>30000 Students,Fully Comprehensive,Very High,100+ Years,42.5,20.5,12.3,38.2,10,41.9,95.1,55.4,40.3,20.2,13.3,39.2,2.8,41.2,,,,,,,,,
Ural Federal University - UrFU,Russia,>30000 Students,Fully Comprehensive,Very High,100+ Years,21.6,14,96.1,2.1,5.5,36.6,77.2,7.2,21.4,12,94.6,2,3.5,38.7,,,,,,,,,
Hiroshima University,Japan,12000-30000 Students,Comprehensive,Very High,100+ Years,22.4,13,87.2,10.3,20.1,17,57.2,4.9,22.5,12.5,89.9,11.9,4.2,17.8,28.9,33.7,22.4,31.5,49.9,28.6,15077,9,0.1
Indiana University Bloomington,United States,12000-30000 Students,Fully Comprehensive,Very High,50-99 Years,36.6,26.3,28.4,29.4,43.3,11.8,87.1,63.8,37.8,28.1,33,35.2,26.5,12.4,,,,,,,,,
Friedrich-Alexander-Universität Erlangen-Nürnberg,Germany,>30000 Students,Fully Comprehensive,Very High,100+ Years,23.3,13.1,2.6,85.8,33.7,28.8,91.5,12,22.8,15.4,2.2,99.3,10.2,26.4,,,,,,,,,
Universiti Teknologi Brunei,Brunei,>30000 Students,Fully Comprehensive,Very High,100+ Years,12,7,95.1,7.6,99,8.6,11.7,1,12.6,9.3,93.4,7.4,99.7,9,,,,,,,,,
University of East Anglia (UEA),United Kingdom,<5000 Students,Focused,Very High,25-49 Years,18.6,10.8,21.5,59.7,77.7,54.7,89.5,12.3,19.7,10.9,19.5,75,59.1,59.9,,,,,,,,,
"Birkbeck, University of London",United Kingdom,12000-30000 Students,Fully Comprehensive,Very High,50-99 Years,11.2,3.2,13.1,70.1,97.5,98.1,50.5,8.6,12.5,3.6,15.1,69.8,98.7,98.2,27.6,87.4,31.5,62.8,34.5,44,8631,15.8,0.38
Universitat Politècnica de Catalunya · BarcelonaTech (UPC),Spain,5000-12000 Students,Focused,Very High,100+ Years,32.5,25.8,45.1,24.7,12.7,21.8,89.2,18.9,33.1,28.8,53.5,22.9,4.2,26.9,,,,,,,,,
MGIMO University,Russia,12000-30000 Students,Comprehensive,Very High,50-99 Years,12.5,24.6,100,1.4,15.8,52.4,1.5,93.9,13.3,21.4,100,1.3,5.6,54.2,,,,,,,,,
Ewha Womans University,South Korea,5000-12000 Students,Specialist,Very High,50-99 Years,23.4,22.2,79.4,9.1,8.3,27.3,33.2,15.8,23,20.1,81.1,10.4,2.3,21.2,29.9,46.7,30.8,31.4,69.9,32.9,14510,16.9,0.15
IE University,Spain,12000-30000 Students,Fully Comprehensive,High,50-99 Years,6.7,47.6,66.6,2.6,92.9,100,6,67.9,7.3,48,76.4,2.7,94,100,,,,,,,,,
University of Jyväskylä,Finland,5000-12000 Students,Focused,High,10-24 Years,16.9,15.4,83.6,19.3,39.1,3.1,79,6.3,16.6,13.7,87.2,20.4,21.9,3.4,26.7,50.7,30.8,54.3,35.8,38.2,10200,15,0.05
University of Southern Denmark (SDU),Denmark,5000-12000 Students,Comprehensive,Very High,50-99 Years,19.3,20.6,35.2,44.5,82.4,22.7,82.5,21.1,19.5,23.8,39.4,51.6,77.8,28.2,,,,,,,,,
Johannes Kepler University Linz,Austria,12000-30000 Students,Comprehensive,Very High,50-99 Years,11.4,11,79.5,20,84.2,22.4,62.7,21.1,11.3,14.6,75.2,24.5,76.9,26.6,,,,,,,,,
University of Connecticut,United States,5000-12000 Students,Comprehensive,Very High,50-99 Years,15.5,10.7,11.5,82.8,69,24.4,86.9,35.5,15.8,11.7,15.3,75.4,44.9,31.1,36.5,49,29.7,60.6,37.9,42.7,32446,15.2,0.09
Norwegian University of Science And Technology,Norway,12000-30000 Students,Fully Comprehensive,Very High,100+ Years,33.9,27,25.5,25.1,76.6,11.4,95.8,47.9,32.9,25,26.9,27.1,63.8,10.5,,,,,,,,,
Universität Jena,Germany,>30000 Students,Fully Comprehensive,Very High,100+ Years,18.4,3.3,99.9,9.2,,24,87.7,8.1,19.7,3.3,99.9,10.6,,25,,,,,,,,,
 University of Dundee,United Kingdom,12000-30000 Students,Fully Comprehensive,Very High,100+ Years,18.9,15,35.5,30.1,99,69.8,57.9,11.8,19.4,15.9,47,29.4,97,64.6,,,,,,,,,
Beijing Institute of Technology,China (Mainland),12000-30000 Students,Fully Comprehensive,High,50-99 Years,20.7,15,37.7,64.3,3.4,4.7,63.4,14.5,21.5,15.3,33.7,61.3,1.4,5,30.6,24.3,32.1,32.7,98.1,32.9,30608,13.3,0.08
"City, University of London",United Kingdom,12000-30000 Students,Focused,Very High,50-99 Years,20.6,18.7,8.6,44.3,97.3,99.5,67.6,42.3,20.4,23.4,10.2,49.6,97,99.9,26.1,94.9,27.8,57.7,35.5,41.5,14362,18.5,0.51
Universität Stuttgart,Germany,12000-30000 Students,Comprehensive,Very High,100+ Years,24.1,24.2,5.7,65.8,36.7,47.3,80.9,28.3,24.3,36.6,5.1,66.4,25.5,46.2,,,,,,,,,
"University of Chemistry and Technology, Prague",Czech Republic,12000-30000 Students,Comprehensive,Very High,100+ Years,6.5,7.9,99.7,13,28.3,61.2,35.2,44.1,6.6,8.7,99.8,13.9,6.9,57.4,24.2,49.3,14.6,17.8,40.7,21.7,4285,9.8,0.2
ITMO University,Russia,<5000 Students,Focused,Very High,50-99 Years,11.9,15.5,96.2,7.3,23.1,42.8,61.7,4.2,12.4,14.2,94.7,7.4,13.6,57.6,30.6,62.1,28,49.8,84.6,39.3,10206,13.1,0.16
University of Victoria (UVic),Canada,5000-12000 Students,Focused,Very High,100+ Years,17.1,9.8,3.6,71.9,91.2,58.2,63.8,10.4,17.3,10.2,3.3,74.9,92.9,76.3,,,,,,,,,
Universiti Teknologi PETRONAS (UTP),Malaysia,12000-30000 Students,Comprehensive,Very High,50-99 Years,16.4,29.8,31.8,46,85.2,18.4,65.5,10.6,16.4,28.8,28.5,36.9,72.6,22.8,,,,,,,,,
George Washington University,United States,<5000 Students,Specialist,Very High,25-49 Years,27.2,29,31.3,32.6,39.2,32.1,86.1,66.6,27.2,32,34.3,33.5,20.8,46,48.6,55.5,32.4,81.5,35,53.8,23488,13.1,0.18
Kobe University,Japan,12000-30000 Students,Fully Comprehensive,Very High,100+ Years,27.3,35.9,64.1,9.3,8.6,9.2,45.1,12.9,26.8,33.2,59,11.7,2.5,10.1,32.4,28.7,22.8,31.1,44.3,29.2,15593,9.5,0.07
Pontificia Universidad Católica del Perú,Peru,12000-30000 Students,Fully Comprehensive,Very High,50-99 Years,43.8,63.2,27.7,1.8,4.3,1.5,34.5,48.9,39.9,66.1,25.6,1.7,1.6,1.7,,,,,,,,,
Quaid-i-Azam University,Pakistan,12000-30000 Students,Focused,Very High,100+ Years,15.4,38.4,2.6,95.8,3.8,2.6,59.2,16.6,15.1,29.7,2.1,98.3,1.3,1.4,20.5,45.5,18.6,81.5,34.4,40.5,14694,24.8,0.01
University of South Australia,Australia,5000-12000 Students,Comprehensive,Very High,50-99 Years,21.7,12.7,20.8,38.2,99.9,65.2,76,19.1,23.1,16.7,20.6,45.6,100,70.4,31.5,89.3,39.4,65.8,82.5,49.8,20268,30.5,0.25
Virginia Polytechnic Institute and State University,United States,12000-30000 Students,Comprehensive,Very High,25-49 Years,28.5,25.6,20,38.5,68.4,18.5,84.1,28.5,28.5,28.9,24.6,41.1,56,24.5,37.5,54,42.3,70.9,47.5,50.4,32838,18.3,0.14
Lincoln University ,New Zealand,>30000 Students,Fully Comprehensive,Very High,100+ Years,7.5,5.9,43.7,39.1,100,95.5,20.8,93.6,8.3,8.5,47.6,30.2,99.2,99.1,,,,,,,,,
Airlangga University,Indonesia,<5000 Students,Comprehensive,Very High,25-49 Years,30.8,60.9,48.3,1.3,26,3,14.5,10,27.4,49.3,44,1.2,2.9,2.2,,,,,,,,,
American University of Sharjah,United Arab Emirates,12000-30000 Students,Fully Comprehensive,High,50-99 Years,18.7,35.8,26.2,17.3,100,100,30.2,79.3,18.9,27.2,28.4,15.2,100,100,19.2,94.8,14.8,23,37.5,25.1,5652,14,0.83
Indian Institute of Technology Roorkee (IITR),India,<5000 Students,Comprehensive,Very High,25-49 Years,16,23.9,9.6,94.5,1.1,2.5,35.6,18.4,14.8,19.3,10.3,88.8,1,2.6,,,,,,,,,
Umea University,Sweden,5000-12000 Students,Focused,Very High,100+ Years,20,11.5,77.1,17,25.7,10.6,82.4,6.2,20.1,12.4,79.3,20.2,11.6,11.2,,,,,,,,,
            Universidade Nova de Lisboa,Portugal,12000-30000 Students,Fully Comprehensive,Very High,50-99 Years,28.7,20.5,25,35,23.6,60.8,88.4,22.1,27.1,22.7,25.1,26.4,8.3,57,,,,,,,,,
University of Kansas,United States,12000-30000 Students,Fully Comprehensive,Very High,25-49 Years,14.9,16.1,80.5,11.2,68.9,8.2,80.9,23.1,15.3,16.8,78.6,13.3,39.5,11,36.9,35.4,22.6,68.3,43.5,42.1,24526,9.9,0.09
"University of California, Santa Cruz",United States,12000-30000 Students,Fully Comprehensive,Very High,100+ Years,18.6,5,8,81.4,63.5,13.4,60.5,15.4,19.7,5.7,7.5,89.1,52.6,17.8,33.1,60.6,34.9,97.7,39.1,55.2,18783,23,0.1
University of Kent,United Kingdom,12000-30000 Students,Comprehensive,Very High,50-99 Years,18.2,6.4,16.6,50.7,96.7,68.4,69.5,32.7,20,8.9,21.6,40.2,98.8,56.1,24.1,91.5,28.4,67.9,35,43.9,17754,20,0.31
University Ulm,Germany,12000-30000 Students,Comprehensive,Very High,50-99 Years,7.6,3.2,80.6,34.4,42.7,23,60.7,7.5,8.1,4.9,82.9,38.1,26.9,22.3,,,,,,,,,
Czech Technical University in Prague,Czech Republic,5000-12000 Students,Focused,Very High,50-99 Years,19.9,33.2,68.9,4.9,23.7,47.3,75,8.7,19.8,36.7,60.5,5.6,10.3,49.5,20.8,53.7,17.4,23.4,44.6,23.6,19499,10.6,0.19
Nankai University,China (Mainland),12000-30000 Students,Specialist,Very High,100+ Years,21.2,5,28.7,70.5,11,3.7,39.1,24.2,22.9,5.2,31.9,71,5.7,5.3,35.7,35.4,21.8,75.8,41.5,43.7,28061,13.3,0.07
Sharif University of Technology,"Iran, Islamic Republic of",>30000 Students,Fully Comprehensive,Very High,50-99 Years,11.6,31.8,7.7,98.3,8,1.3,52.3,82,12.1,25.1,9.8,98.1,2.5,2.7,28.9,23.7,36.7,41,99.8,36.3,9260,19.8,0.02
University of Hawaiʻi at Mānoa,United States,5000-12000 Students,Focused,Very High,50-99 Years,15.6,14.3,45.4,46.1,55.4,14.2,84.8,10.2,16.2,13.7,54.1,51.8,40.9,17.2,,,,,,,,,
Peter the Great St. Petersburg Polytechnic University,Russia,12000-30000 Students,Fully Comprehensive,Very High,100+ Years,15,10.4,81.4,3.7,16.4,89.3,45.4,18.7,13.1,9.3,83.2,3.8,5.9,88.5,,,,,,,,,
            Pontificia Universidad Javeriana,Colombia,12000-30000 Students,Focused,Very High,100+ Years,41,82.4,20.1,1.8,4.9,1.9,27.6,37.2,37.5,83.6,17.1,2.2,1.9,1.9,,,,,,,,,
Indian Institute of Technology Guwahati (IITG),India,12000-30000 Students,Fully Comprehensive,High,100+ Years,15.1,16.9,9.5,96.3,3.4,1.3,36.6,23.5,13.2,14.5,12,94.8,1.4,1.3,,,,,,,,,
Sultan Qaboos University,Oman,5000-12000 Students,Comprehensive,Very High,25-49 Years,15,16.9,67.3,14.3,100,3.7,86.8,63.4,14.8,13.7,76.9,12.1,100,3.9,23.8,73.1,10.6,19.1,47.4,22.7,6823,7.4,0.04
Taipei Medical University (TMU),Taiwan,5000-12000 Students,Fully Comprehensive,High,25-49 Years,9.7,17,92.3,17,18.1,16.1,24,26.5,9.7,12,90.3,16.7,6.4,16.7,,,,,,,,,
Westfälische Wilhelms-Universität Münster ,Germany,5000-12000 Students,Specialist,Very High,10-24 Years,33.1,22.2,46.3,13.6,29.1,5.3,83.1,19.3,33.7,24.9,37,16,13.1,7.6,,,,,,,,,
Lappeenranta-Lahti University of Technology LUT,Finland,12000-30000 Students,Fully Comprehensive,Very High,100+ Years,7,18.1,13.5,96.8,35.4,11.3,55.2,11.3,7.3,16.9,17.1,88.1,17.4,15.4,28.3,61.5,30.1,43.1,53.8,36.4,3851,28.2,0.19
Northeastern University,United States,<5000 Students,Specialist,Very High,50-99 Years,20.5,12.5,17.8,37.1,76,95.8,75.6,46.2,20.7,14.9,22.7,46.7,68.2,94.9,38,75,27.9,97.5,38,55.6,19575,13.9,0.35
Northeastern University,United States,12000-30000 Students,Comprehensive,Very High,100+ Years,20.5,12.5,17.8,37.1,76,95.8,75.6,46.2,20.7,14.9,22.7,46.7,68.2,94.9,24.8,37.5,22.1,19.3,96.9,25.1,36015,14.5,0.04
Pakistan Institute of Engineering and Applied Sciences (PIEAS),Pakistan,<5000 Students,Focused,Very High,25-49 Years,5.2,8.2,86.4,44.1,,,23.4,91.2,5.4,6.9,93.1,33.2,,,,,,,,,,,
Universidad de Palermo (UP),Argentina,<5000 Students,Focused,Medium,25-49 Years,9.7,9.9,87.8,1.1,29.4,96.7,4,11.8,9.1,10.9,89.3,1.1,14.1,97.1,,,,,,,,,
Chung-Ang University (CAU),South Korea,12000-30000 Students,Fully Comprehensive,Very High,50-99 Years,16.7,35.3,72.4,8.6,13.9,34.7,33,12.8,15.5,27.7,73.2,9.2,4.8,32.1,,,,,,,,,
Tokyo Medical and Dental University (TMDU),Japan,<5000 Students,Focused,Very High,50-99 Years,10.6,4.8,100,15.8,3.2,16.6,24.7,6.4,10.8,5.6,100,16.9,1.3,17.2,45.2,27.1,24.2,58.1,63.1,41.9,2999,3.3,0.09
University of Oulu,Finland,5000-12000 Students,Fully Comprehensive,Very High,50-99 Years,15.6,22.6,30,55.6,56.8,7.5,84.4,24.6,16.4,20.9,31.5,60.6,40.1,6.8,30.3,54.3,34.4,76.4,43,47.5,10086,30,0.06
University of Utah,United States,12000-30000 Students,Fully Comprehensive,Very High,100+ Years,16.5,7.6,62.5,38,18.9,9.2,82.2,15.2,16.8,8.7,64.9,46,8.9,10.1,39,33,34.7,86.4,48.3,51.7,30365,14.2,0.08
Shandong University,China (Mainland),>30000 Students,Fully Comprehensive,Very High,50-99 Years,13.8,32.8,19.2,76.4,9.8,3.8,59.4,17.7,14.9,26.3,20.8,73.3,3.1,3.9,32.3,30.6,29.1,35.4,72.3,33.1,45767,14.6,0.07
National Research Tomsk Polytechnic University,Russia,5000-12000 Students,Focused,Very High,100+ Years,9.4,7.8,91.9,5.3,8.9,80.6,78,4.5,9.6,8.1,89.1,6.2,3.8,85.6,,,,,,,,,
Tilburg University,Netherlands,12000-30000 Students,Focused,Very High,50-99 Years,14.8,30.7,10.6,50.1,95.3,52,51.9,10.6,15.4,36.3,13.6,55.9,93.3,50,36.8,78.2,48.8,62.1,55.9,51.6,8033,21.4,0.15
Universitat Politècnica de València,Spain,12000-30000 Students,Comprehensive,Very High,50-99 Years,26,10.2,60.3,17.6,4.8,20.8,84.6,13.9,25.5,12.3,72.8,13.5,2.2,21.2,,,,,,,,,
Vilnius University ,Lithuania,12000-30000 Students,Fully Comprehensive,High,100+ Years,20,27.5,79.8,3.1,10.4,9.1,74.3,52.4,20.7,21.2,80.3,3.8,3.6,9.3,,,,,,,,,
Royal Holloway University of London,United Kingdom,5000-12000 Students,Comprehensive,Very High,100+ Years,16.8,7.5,15.8,42.5,94.3,86.9,64.7,11.5,17.7,10,20.1,52.2,96.5,93.6,,,,,,,,,
